province,city,terminal_name
서울특별시,강서구,김포공항정류소
서울특별시,광진구,동서울종합터미널
서울특별시,서초구,서울고속버스터미널(경부 영동선)
서울특별시,서초구,서울남부터미널
서울특별시,서초구,센트럴시티터미널(호남선)
서울특별시,송파구,잠실역정류소
서울특별시,송파구,잠실역중앙정류소
서울특별시,송파구,장지역시외버스정류소
서울특별시,중랑구,상봉시외버스터미널
경기도,가평군,가평터미널
경기도,가평군,대성리정류소
경기도,가평군,청평터미널
경기도,고양시 일산동구,고양종합터미널
경기도,광명시,광명종합터미널
경기도,광명시,광명철산역정류소
경기도,광주시,경기도광주종합터미널
경기도,구리시,구리시외버스정류장
경기도,군포시,군포산본터미널
경기도,군포시,군포시외버스정류소
경기도,부천시 원미구,부천터미널소풍
경기도,성남시 분당구,성남종합버스터미널
경기도,수원시 권선구,서수원버스터미널
경기도,수원시 권선구,수원버스터미널
경기도,수원시 영통구,경제과학진흥원
경기도,수원시 영통구,아주대병원
경기도,수원시 팔달구,아주대정류소
경기도,수원시 팔달구,우만동터미널
경기도,수원시 팔달구,창현고.유신고
경기도,시흥시,시흥종합버스터미널
경기도,안산시 상록구,안산버스터미널
경기도,안성시,공도시외버스정류장
경기도,안성시,동아방송대정류소
경기도,안성시,두원대정류소
경기도,안성시,안성대림동산정류소
경기도,안성시,안성종합버스터미널
경기도,안성시,안성회관정류소
경기도,안성시,일죽버스터미널
경기도,안성시,죽산시외버스터미널
경기도,안성시,중앙대
경기도,안성시,풍림아파트(안성)
경기도,안양시 동안구,범계역정류소
경기도,안양시 동안구,의왕내손동
경기도,안양시 동안구,인덕원역
경기도,안양시 동안구,호계시외버스정류소
경기도,안양시 만안구,관악역정류소
경기도,안양시 만안구,안양시외버스정류장 하행
경기도,안양시 만안구,안양역시외버스정류장
경기도,양평군,양평버스터미널
경기도,양평군,용문버스터미널
경기도,여주시,가남태평버스정류소
경기도,여주시,여주대정류소
경기도,여주시,여주종합터미널
경기도,오산시,교육지원청사거리(오산)
경기도,오산시,세교2지구7단지
경기도,오산시,세교고인돌공원
경기도,오산시,세교한신더휴
경기도,오산시,세마역정류장
경기도,오산시,오산대역후문
